                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                 4.7612,                 1.0943,                 1.0662,                 0.6319,                0.30316,                0.36286,                0.18287,                 4.7712,                 1.0217,                 1.0689,             0.00052827,             0.00052827,             0.00052827
                    140,                 4.7849,                 1.0654,                 1.0602,                0.62897,                0.30593,                0.36251,                0.18441,                 4.7698,                 1.0164,                 1.0691,             0.00052002,             0.00052002,             0.00052002
                    141,                 4.7704,                 1.0694,                 1.0613,                0.65927,                0.29778,                0.36503,                0.18523,                 4.7506,                 1.0228,                 1.0721,             0.00051177,             0.00051177,             0.00051177
                    142,                 4.7544,                 1.0792,                 1.0672,                0.63582,                0.30903,                0.36405,                0.18955,                 4.7965,                 1.0102,                 1.0642,             0.00050352,             0.00050352,             0.00050352
                    143,                 4.7556,                 1.0731,                 1.0642,                0.64976,                0.30384,                0.36375,                0.18436,                 4.7294,                 1.0191,                 1.0742,             0.00049527,             0.00049527,             0.00049527
                    144,                 4.7652,                 1.0597,                 1.0565,                0.62238,                0.31137,                0.36836,                0.19072,                 4.7534,                 1.0049,                 1.0671,             0.00048701,             0.00048701,             0.00048701
                    145,                 4.7491,                 1.0737,                 1.0635,                0.65314,                 0.3078,                  0.368,                 0.1888,                 4.7501,                 1.0133,                 1.0646,             0.00047876,             0.00047876,             0.00047876
                    146,                 4.7446,                 1.0616,                 1.0596,                0.62056,                0.31299,                0.36725,                0.18764,                 4.7167,                 1.0141,                  1.071,             0.00047051,             0.00047051,             0.00047051
                    147,                   4.74,                 1.0638,                 1.0577,                0.62901,                0.31441,                 0.3712,                0.19001,                 4.7306,                  1.005,                 1.0607,             0.00046226,             0.00046226,             0.00046226
                    148,                 4.7312,                 1.0622,                  1.055,                0.64201,                0.30624,                 0.3667,                0.18769,                 4.7278,                 1.0061,                 1.0594,             0.00045401,             0.00045401,             0.00045401
                    149,                 4.7528,                 1.0457,                 1.0534,                0.63061,                0.31897,                0.37281,                0.18954,                 4.7128,                 1.0019,                 1.0644,             0.00044576,             0.00044576,             0.00044576
                    150,                 4.7339,                 1.0519,                 1.0517,                0.64065,                0.30826,                0.36558,                0.18627,                  4.678,                 1.0107,                  1.069,              0.0004375,              0.0004375,              0.0004375
                    151,                 4.7302,                 1.0478,                 1.0497,                0.63935,                0.31137,                0.36997,                  0.189,                 4.7029,                  1.001,                 1.0698,             0.00042925,             0.00042925,             0.00042925
                    152,                 4.7356,                 1.0437,                 1.0495,                0.63232,                0.31547,                0.37136,                0.18785,                 4.6883,                  1.004,                 1.0606,               0.000421,               0.000421,               0.000421
                    153,                 4.7231,                 1.0415,                 1.0501,                0.65319,                0.31078,                0.37239,                0.19104,                 4.7023,                 1.0001,                 1.0632,             0.00041275,             0.00041275,             0.00041275
                    154,                  4.715,                 1.0444,                 1.0469,                0.65419,                0.31143,                0.37359,                0.19146,                 4.7001,                 0.9996,                 1.0641,              0.0004045,              0.0004045,              0.0004045
                    155,                 4.7064,                  1.068,                  1.057,                0.64089,                0.31414,                0.37358,                0.19156,                  4.689,                0.99358,                 1.0584,             0.00039625,             0.00039625,             0.00039625
                    156,                 4.7118,                 1.0346,                 1.0495,                0.62763,                 0.3176,                0.37244,                0.19116,                 4.6936,                0.99262,                 1.0587,             0.00038799,             0.00038799,             0.00038799
                    157,                 4.7347,                 1.0224,                 1.0402,                0.65781,                0.31862,                0.37695,                0.19586,                 4.7059,                 0.9888,                 1.0528,             0.00037974,             0.00037974,             0.00037974
                    158,                 4.7098,                 1.0469,                 1.0449,                 0.6439,                0.30921,                0.37044,                0.19121,                  4.687,                0.99156,                 1.0584,             0.00037149,             0.00037149,             0.00037149
                    159,                 4.7074,                 1.0319,                 1.0463,                0.66319,                0.31445,                0.37896,                 0.2001,                  4.715,                0.97333,                 1.0414,             0.00036324,             0.00036324,             0.00036324
                    160,                 4.6979,                 1.0481,                 1.0506,                0.66432,                0.31878,                0.38167,                 0.1999,                 4.7139,                0.97611,                 1.0441,             0.00035499,             0.00035499,             0.00035499
                    161,                 4.7115,                 1.0261,                 1.0419,                0.64883,                0.32613,                0.38628,                0.20517,                 4.7392,                0.95977,                   1.03,             0.00034674,             0.00034674,             0.00034674
                    162,                 4.6992,                 1.0311,                 1.0416,                0.63498,                 0.3245,                0.38218,                0.19993,                  4.686,                0.97364,                 1.0454,             0.00033848,             0.00033848,             0.00033848
                    163,                 4.7081,                 1.0153,                 1.0362,                0.64857,                0.31977,                0.38234,                 0.2005,                 4.6704,                0.97412,                 1.0474,             0.00033023,             0.00033023,             0.00033023
                    164,                 4.7059,                 1.0135,                 1.0353,                0.63742,                0.32301,                0.38222,                0.19908,                 4.6628,                0.97443,                 1.0522,             0.00032198,             0.00032198,             0.00032198
                    165,                 4.6896,                 1.0263,                 1.0386,                0.64326,                 0.3264,                0.38555,                0.20211,                 4.6744,                0.96328,                 1.0416,             0.00031373,             0.00031373,             0.00031373
                    166,                 4.6854,                 1.0172,                 1.0323,                0.65871,                0.32009,                0.38391,                0.19834,                 4.6518,                0.97118,                 1.0462,             0.00030548,             0.00030548,             0.00030548
                    167,                 4.6845,                 1.0179,                 1.0319,                0.66733,                0.31938,                0.38559,                0.20286,                 4.6742,                0.96449,                 1.0412,             0.00029723,             0.00029723,             0.00029723
                    168,                 4.6915,                 1.0251,                 1.0351,                0.66309,                0.32278,                0.38573,                0.20013,                 4.6368,                0.96855,                 1.0461,             0.00028897,             0.00028897,             0.00028897
                    169,                 4.6894,                 1.0124,                 1.0292,                0.66112,                0.32249,                0.38715,                0.20482,                 4.6671,                0.96126,                 1.0417,             0.00028072,             0.00028072,             0.00028072
                    170,                  4.684,                 1.0046,                 1.0316,                0.65731,                0.32449,                0.38926,                0.20755,                 4.6686,                0.95226,                 1.0354,             0.00027247,             0.00027247,             0.00027247
                    171,                 4.6799,                 1.0014,                 1.0317,                0.67319,                0.31823,                0.38413,                0.20046,                 4.6361,                0.96381,                 1.0441,             0.00026422,             0.00026422,             0.00026422
                    172,                 4.6853,                 1.0004,                 1.0238,                0.66403,                0.32455,                0.38769,                0.20241,                 4.6366,                0.95913,                 1.0418,             0.00025597,             0.00025597,             0.00025597
                    173,                 4.6582,                 1.0182,                 1.0275,                0.65448,                0.32307,                 0.3842,                 0.1984,                 4.6175,                0.97049,                 1.0464,             0.00024772,             0.00024772,             0.00024772
                    174,                 4.6712,                 1.0039,                 1.0225,                0.65705,                0.32494,                0.38489,                0.20042,                 4.6085,                 0.9664,                 1.0471,             0.00023946,             0.00023946,             0.00023946
                    175,                 4.6529,                 1.0092,                 1.0311,                 0.6769,                0.32333,                0.39105,                0.20542,                  4.634,                0.95736,                 1.0419,             0.00023121,             0.00023121,             0.00023121
                    176,                 4.6498,                 1.0102,                   1.03,                0.67344,                0.32334,                0.39017,                 0.2044,                 4.6104,                0.95934,                  1.041,             0.00022296,             0.00022296,             0.00022296
                    177,                  4.665,                0.99989,                 1.0249,                0.67565,                0.32315,                0.39083,                0.20511,                 4.6242,                0.95569,                  1.039,             0.00021471,             0.00021471,             0.00021471
                    178,                 4.6558,                0.99037,                 1.0205,                 0.6559,                  0.328,                0.39108,                0.20516,                 4.6058,                0.95416,                 1.0392,             0.00020646,             0.00020646,             0.00020646
                    179,                 4.6506,                0.99063,                 1.0265,                0.67369,                0.32348,                0.39081,                0.20357,                 4.5945,                0.95475,                 1.0389,             0.00019821,             0.00019821,             0.00019821
                    180,                  4.651,                0.99137,                  1.023,                0.65796,                0.32769,                0.38997,                0.20606,                 4.6056,                0.94971,                  1.037,             0.00018995,             0.00018995,             0.00018995
                    181,                  4.647,                0.99126,                 1.0253,                0.67382,                 0.3234,                0.39098,                0.20663,                 4.6191,                0.94918,                 1.0332,              0.0001817,              0.0001817,              0.0001817
                    182,                 4.6392,                0.98437,                 1.0188,                0.68857,                0.32106,                0.39114,                0.20701,                 4.5934,                 0.9467,                 1.0319,             0.00017345,             0.00017345,             0.00017345
                    183,                 4.6444,                0.98648,                 1.0136,                  0.659,                0.32812,                0.39041,                 0.2051,                 4.5853,                0.94944,                 1.0353,              0.0001652,              0.0001652,              0.0001652
                    184,                 4.6421,                0.96835,                 1.0126,                0.66369,                0.33355,                0.39548,                 0.2084,                 4.5954,                0.93972,                 1.0289,             0.00015695,             0.00015695,             0.00015695
                    185,                 4.6358,                  0.985,                 1.0108,                0.66762,                0.32896,                0.39272,                0.20817,                 4.5815,                0.94202,                 1.0278,              0.0001487,              0.0001487,              0.0001487
                    186,                 4.6293,                0.98092,                 1.0165,                0.67354,                0.32682,                0.39276,                0.20695,                 4.5861,                0.94504,                 1.0355,             0.00014044,             0.00014044,             0.00014044
                    187,                 4.6401,                0.98941,                 1.0138,                0.66702,                0.33013,                  0.393,                0.20623,                 4.5659,                0.94418,                 1.0344,             0.00013219,             0.00013219,             0.00013219
                    188,                 4.6016,                 1.0015,                 1.0186,                0.67502,                0.32793,                0.39328,                 0.2062,                 4.5479,                0.94869,                 1.0369,             0.00012394,             0.00012394,             0.00012394
                    189,                 4.6275,                0.97708,                 1.0128,                0.68983,                0.32404,                0.39381,                0.20844,                 4.5599,                0.94314,                 1.0299,             0.00011569,             0.00011569,             0.00011569
                    190,                 4.6191,                0.97872,                 1.0157,                0.67623,                 0.3263,                0.39464,                0.20809,                  4.552,                0.94273,                 1.0313,             0.00010744,             0.00010744,             0.00010744
                    191,                 4.5637,                0.96589,                 1.0201,                0.69343,                0.33476,                0.39661,                0.21119,                 4.5821,                0.94298,                 1.0236,             9.9187e-05,             9.9187e-05,             9.9187e-05
                    192,                 4.6492,                0.91897,                0.99462,                0.69001,                0.32998,                0.39616,                0.21124,                 4.5759,                0.93707,                 1.0207,             9.0935e-05,             9.0935e-05,             9.0935e-05
                    193,                 4.6573,                0.91999,                0.99431,                0.67338,                0.33369,                0.39518,                0.20974,                  4.559,                0.93631,                 1.0216,             8.2683e-05,             8.2683e-05,             8.2683e-05
                    194,                 4.6672,                0.90554,                0.98666,                0.68988,                0.33098,                0.39862,                0.21325,                   4.57,                0.93117,                 1.0163,             7.4432e-05,             7.4432e-05,             7.4432e-05
                    195,                 4.6737,                0.90679,                0.98697,                0.69505,                0.33124,                0.39969,                0.21432,                 4.5655,                0.92789,                 1.0153,              6.618e-05,              6.618e-05,              6.618e-05
                    196,                 4.6693,                 0.9029,                 0.9843,                0.68687,                0.33347,                0.39983,                 0.2155,                 4.5638,                0.92443,                 1.0118,             5.7928e-05,             5.7928e-05,             5.7928e-05
                    197,                 4.6842,                0.89131,                0.97914,                0.69058,                 0.3338,                0.40124,                0.21627,                 4.5584,                 0.9239,                 1.0109,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    198,                 4.6798,                0.89738,                0.97638,                0.68836,                0.33429,                0.40151,                0.21694,                 4.5619,                0.92226,                 1.0102,             4.1425e-05,             4.1425e-05,             4.1425e-05
                    199,                 4.6692,                0.88826,                0.97807,                0.68217,                0.33521,                0.40174,                0.21795,                 4.5658,                0.91848,                  1.008,             3.3173e-05,             3.3173e-05,             3.3173e-05
                    200,                 4.6784,                0.88625,                0.97581,                 0.6983,                0.33437,                0.40361,                0.21977,                 4.5668,                0.91756,                 1.0068,             2.4922e-05,             2.4922e-05,             2.4922e-05
